key,scientificName,phylum,class,decimalLatitude,decimalLongitude,eventDate,taxon_group
3444769077,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-20,"Elasmobranchii (sharks & rays, class)"
3444769501,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-01,"Elasmobranchii (sharks & rays, class)"
3444769511,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-12,"Elasmobranchii (sharks & rays, class)"
3444769542,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-19,"Elasmobranchii (sharks & rays, class)"
3444769626,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-30,"Elasmobranchii (sharks & rays, class)"
3444769738,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-18,"Elasmobranchii (sharks & rays, class)"
3444769866,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-05,"Elasmobranchii (sharks & rays, class)"
3444769949,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-29,"Elasmobranchii (sharks & rays, class)"
3444770091,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-03,"Elasmobranchii (sharks & rays, class)"
3444770092,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-21,"Elasmobranchii (sharks & rays, class)"
3444770144,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-03,"Elasmobranchii (sharks & rays, class)"
3444770145,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-21,"Elasmobranchii (sharks & rays, class)"
3444774526,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-14,"Elasmobranchii (sharks & rays, class)"
3444774543,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-07,"Elasmobranchii (sharks & rays, class)"
3444774562,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-20,"Elasmobranchii (sharks & rays, class)"
3444774662,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-14,"Elasmobranchii (sharks & rays, class)"
3444774980,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-31,"Elasmobranchii (sharks & rays, class)"
3444775015,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-12,"Elasmobranchii (sharks & rays, class)"
3444775171,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-05,"Elasmobranchii (sharks & rays, class)"
3444775172,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-23,"Elasmobranchii (sharks & rays, class)"
3444775226,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-05,"Elasmobranchii (sharks & rays, class)"
3444775227,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-23,"Elasmobranchii (sharks & rays, class)"
3444775394,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-16,"Elasmobranchii (sharks & rays, class)"
3444775679,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-03,"Elasmobranchii (sharks & rays, class)"
3444775767,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-09,"Elasmobranchii (sharks & rays, class)"
3444775768,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-27,"Elasmobranchii (sharks & rays, class)"
3444775797,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-08,"Elasmobranchii (sharks & rays, class)"
3444775798,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-26,"Elasmobranchii (sharks & rays, class)"
3444775943,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-19,"Elasmobranchii (sharks & rays, class)"
3444775991,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-19,"Elasmobranchii (sharks & rays, class)"
3444987058,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.14,113.75,2011-01-12,"Elasmobranchii (sharks & rays, class)"
3444987059,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.14,113.75,2011-01-30,"Elasmobranchii (sharks & rays, class)"
3444987077,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-14,"Elasmobranchii (sharks & rays, class)"
3444987084,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-01,"Elasmobranchii (sharks & rays, class)"
3444987088,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-11,"Elasmobranchii (sharks & rays, class)"
3444987093,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-15,"Elasmobranchii (sharks & rays, class)"
3444987178,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.14,113.75,2011-01-02,"Elasmobranchii (sharks & rays, class)"
3444987204,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.76,2011-01-04,"Elasmobranchii (sharks & rays, class)"
3444987213,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-17,"Elasmobranchii (sharks & rays, class)"
3444987223,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.14,113.75,2011-01-29,"Elasmobranchii (sharks & rays, class)"
3444987246,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.76,2011-01-30,"Elasmobranchii (sharks & rays, class)"
3444996330,"Negaprion acutidens (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-07,"Elasmobranchii (sharks & rays, class)"
3444996339,"Negaprion acutidens (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-04,"Elasmobranchii (sharks & rays, class)"
3444996340,"Negaprion acutidens (Rüppell, 1837)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-22,"Elasmobranchii (sharks & rays, class)"
3444996401,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.09,113.8,2011-01-07,"Elasmobranchii (sharks & rays, class)"
3444996454,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-12,"Elasmobranchii (sharks & rays, class)"
3444996458,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-15,"Elasmobranchii (sharks & rays, class)"
3444996462,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-02,"Elasmobranchii (sharks & rays, class)"
3444996463,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.14,113.75,2011-01-28,"Elasmobranchii (sharks & rays, class)"
3444996470,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-30,"Elasmobranchii (sharks & rays, class)"
3444996474,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-16,"Elasmobranchii (sharks & rays, class)"
3444996495,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-09,"Elasmobranchii (sharks & rays, class)"
3444996690,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-21,"Elasmobranchii (sharks & rays, class)"
3444996693,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-24,"Elasmobranchii (sharks & rays, class)"
3444996702,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-11,"Elasmobranchii (sharks & rays, class)"
3444996708,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-03,"Elasmobranchii (sharks & rays, class)"
3444996709,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-21,"Elasmobranchii (sharks & rays, class)"
3444996714,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-07,"Elasmobranchii (sharks & rays, class)"
3444996715,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-25,"Elasmobranchii (sharks & rays, class)"
3444996766,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.76,2011-01-17,"Elasmobranchii (sharks & rays, class)"
3444996853,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.14,113.75,2011-01-23,"Elasmobranchii (sharks & rays, class)"
3444996980,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-01,"Elasmobranchii (sharks & rays, class)"
3444997091,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-17,"Elasmobranchii (sharks & rays, class)"
3444997123,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.76,2011-01-30,"Elasmobranchii (sharks & rays, class)"
3444997163,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.13,113.73,2011-01-25,"Elasmobranchii (sharks & rays, class)"
3444997183,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.76,2011-01-02,"Elasmobranchii (sharks & rays, class)"
3444997184,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.76,2011-01-20,"Elasmobranchii (sharks & rays, class)"
3445003136,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.14,113.75,2011-01-16,"Elasmobranchii (sharks & rays, class)"
3445003158,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-18,"Elasmobranchii (sharks & rays, class)"
3445003165,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-23,"Elasmobranchii (sharks & rays, class)"
3445003171,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.13,113.77,2011-01-15,"Elasmobranchii (sharks & rays, class)"
